323	text/h323
arj	application/arj
mme	application/base64
boo	application/book
book	application/book
ccad	application/clariscad
dp	application/commonground
drw	application/drafting
xl	application/excel
frl	application/freeloader
spl	application/futuresplash
vew	application/groupwise
hta	application/hta
unv	application/i-deas
inf	application/inf
acx	application/internet-property-stream
jar application/x-java-archive
ear application/x-java-archive
war application/x-java-archive
js	text/javascript
ts	text/typescript
hqx	application/mac-binhex40
mrc	application/marc
mbd	application/mbedlet
aps	application/mime
accdb	application/msaccess
infopathxml	application/ms-infopath.xml
one	application/msonenote
ppz	application/mspowerpoint
vsi	application/ms-vsi
doc	application/msword
dot	application/msword
w6w	application/msword
wiz	application/msword
word	application/msword
mzxml	application/mzxml
mcp	application/netmc
a	application/octet-stream
arc	application/octet-stream
bin	application/octet-stream
com	application/octet-stream
dms	application/octet-stream
dump	application/octet-stream
exe	application/octet-stream
lhx	application/octet-stream
o	application/octet-stream
psd	application/octet-stream
saveme	application/octet-stream
zoo	application/octet-stream
	application/octet-stream
oda	application/oda
axs	application/olescript
pdf	application/pdf
prf	application/pics-rules
p7s	application/pkcs7-signature
crl	application/pkix-crl
ai	application/postscript
eps	application/postscript
ps	application/postscript
part	application/pro_eng
prt	application/pro_eng
rng	application/ringing-tones
rtf	application/rtf
rtx	application/rtf
set	application/set
setpay	application/set-payment-initiation
setreg	application/set-registration-initiation
smi	application/smil
smil	application/smil
sol	application/solids
sdr	application/sounder
step	application/step
stp	application/step
ssm	application/streamingmedia
vda	application/vda
edn	application/vnd.adobe.edn
pdx	application/vnd.adobe.pdx
rmf	application/vnd.adobe.rmf
xdp	application/vnd.adobe.xdp+xml
xfd	application/vnd.adobe.xfd+xml
xfdf	application/vnd.adobe.xfdf
fdf	application/vnd.fdf
kml	application/vnd.google-earth.kml+xml
kmz	application/vnd.google-earth.kmz
grv	application/vnd.groove-injector
gsa	application/vnd.groove-space-archive
gta	application/vnd.groove-tool-archive
vcg	application/vnd.groove-vcard
hgl	application/vnd.hp-hpgl
hpg	application/vnd.hp-hpgl
hpgl	application/vnd.hp-hpgl
pcl	application/vnd.hp-pcl
xlb	application/vnd.ms-excel
xlc	application/vnd.ms-excel
xll	application/vnd.ms-excel
xlm	application/vnd.ms-excel
xls	application/vnd.ms-excel
xlw	application/vnd.ms-excel
eot	application/vnd.ms-fontobject
xlam	application/vnd.ms-excel.addin.macroEnabled.12
xlsb	application/vnd.ms-excel.sheet.binary.macroEnabled.12
xlsm	application/vnd.ms-excel.sheet.macroEnabled.12
xltm	application/vnd.ms-excel.template.macroEnabled.12
mpf	application/vnd.ms-mediapackage
thmx	application/vnd.ms-officetheme
rels	application/vnd.ms-package.relationships+xml
sst	application/vnd.ms-pki.certstore
pko	application/vnd.ms-pki.pko
cat	application/vnd.ms-pki.seccat
stl	application/vnd.ms-pki.stl
pot	application/vnd.ms-powerpoint
"pot,"	application/vnd.ms-powerpoint
ppa	application/vnd.ms-powerpoint
pps	application/vnd.ms-powerpoint
ppt	application/vnd.ms-powerpoint
pwz	application/vnd.ms-powerpoint
ppam	application/vnd.ms-powerpoint.addin.macroEnabled.12
pptm	application/vnd.ms-powerpoint.presentation.macroEnabled.12
sldm	application/vnd.ms-powerpoint.slide.macroEnabled.12
ppsm	application/vnd.ms-powerpoint.slideshow.macroEnabled.12
potm	application/vnd.ms-powerpoint.template.macroEnabled.12
mpp	application/vnd.ms-project
pub	application/vnd.ms-publisher
vdx	application/vnd.ms-visio.viewer
docm	application/vnd.ms-word.document.macroEnabled.12
dotm	application/vnd.ms-word.template.macroEnabled.12
wcm	application/vnd.ms-works
wdb	application/vnd.ms-works
wks	application/vnd.ms-works
wps	application/vnd.ms-works
wpl	application/vnd.ms-wpl
ncm	application/vnd.nokia.configuration-message
odc	application/vnd.oasis.opendocument.chart
odb	application/vnd.oasis.opendocument.database
odf	application/vnd.oasis.opendocument.formula
odg	application/vnd.oasis.opendocument.graphics odg
otg	application/vnd.oasis.opendocument.graphics-template
odi	application/vnd.oasis.opendocument.image
odp	application/vnd.oasis.opendocument.presentation
otp	application/vnd.oasis.opendocument.presentation-template
ods	application/vnd.oasis.opendocument.spreadsheet
ots	application/vnd.oasis.opendocument.spreadsheet-template
odt	application/vnd.oasis.opendocument.text
odm	application/vnd.oasis.opendocument.text-master
ott	application/vnd.oasis.opendocument.text-template ott
oth	application/vnd.oasis.opendocument.text-web
oxt	application/vnd.openofficeorg.extension
pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
sldx	application/vnd.openxmlformats-officedocument.presentationml.slide
ppsx	application/vnd.openxmlformats-officedocument.presentationml.slideshow
potx	application/vnd.openxmlformats-officedocument.presentationml.template
xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xltx	application/vnd.openxmlformats-officedocument.spreadsheetml.template
docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document
dotx	application/vnd.openxmlformats-officedocument.wordprocessingml.template
rm	application/vnd.rn-realmedia
rnx	application/vnd.rn-realplayer
wmlc	application/vnd.wap.wmlc
wmlsc	application/vnd.wap.wmlscriptc
wmlscriptc	application/vnd.wap.wmlscriptc
web	application/vnd.xara
vmd	application/vocaltec-media-desc
vmf	application/vocaltec-media-file
wp	application/wordperfect
wp5	application/wordperfect
wp6	application/wordperfect
wpd	application/wordperfect
w60	application/wordperfect6.0
w61	application/wordperfect6.1
wk1	application/x-123
aim	application/x-aim
aab	application/x-authorware-bin
aam	application/x-authorware-map
aas	application/x-authorware-seg
bcpio	application/x-bcpio
bsh	application/x-bsh
pyc	application/x-bytecode.python
bz	application/x-bzip
boz	application/x-bzip2
bz2	application/x-bzip2
cdf	application/x-cdf
vcd	application/x-cdlink
cha	application/x-chat
chat	application/x-chat
cco	application/x-cocoa
z	application/x-compress
tgz	application/x-compressed
nsc	application/x-conference
cpio	application/x-cpio
cpt	application/x-cpt
csh	application/x-csh
deepv	application/x-deepv
dcr	application/x-director
dir	application/x-director
dxr	application/x-director
dvi	application/x-dvi
etd	application/x-ebx
elc	application/x-elc
env	application/x-envoy
evy	application/x-envoy
es	application/x-esrehber
xld	application/x-excel
xlk	application/x-excel
xlt	application/x-excel
xlv	application/x-excel
pre	application/x-freelance
gsp	application/x-gsp
gss	application/x-gss
gtar	application/x-gtar
gz	application/x-gzip
gzip	application/x-gzip
hdf	application/x-hdf
help	application/x-helpfile
imap	application/x-httpd-imap
ima	application/x-ima
@	application/x-informationCard
ins	application/x-internet-signup
isp	application/x-internet-signup
iv	application/x-inventor
ip	application/x-ip2
iii	application/x-iphone
class	application/x-java-class
jcm	application/x-java-commerce
jnlp	application/x-java-jnlp-file
skd	application/x-koan
skm	application/x-koan
skp	application/x-koan
skt	application/x-koan
ksh	application/x-ksh
latex	application/x-latex
ltx	application/x-latex
lha	application/x-lha
lsp	application/x-lisp
ivy	application/x-livescreen
wq1	application/x-lotus
lzh	application/x-lzh
lzx	application/x-lzx
mc$	application/x-magic-cap-package-1.0
mcd	application/x-mathcad
mif	application/x-mif
nix	application/x-mix-transfer
amc	application/x-mpeg
asx	application/x-mplayer2
mdb	application/x-msaccess
application	application/x-ms-application
crd	application/x-mscardfile
clp	application/x-msclip
dll	application/x-msdownload
xla	application/x-msexcel
m13	application/x-msmediaview
m14	application/x-msmediaview
mvb	application/x-msmediaview
mny	application/x-msmoney
scd	application/x-msschedule
trm	application/x-msterminal
wmd	application/x-ms-wmd
wmz	application/x-ms-wmz
wri	application/x-mswrite
ani	application/x-navi-animation
nvd	application/x-navidoc
map	application/x-navimap
nc	application/x-netcdf
pkg	application/x-newton-compatible-pkg
omc	application/x-omc
omcd	application/x-omcdatamaker
omcr	application/x-omcregerator
pm4	application/x-pagemaker
pm5	application/x-pagemaker
pma	application/x-perfmon
pmc	application/x-perfmon
pml	application/x-perfmon
pmr	application/x-perfmon
pmw	application/x-perfmon
plx	application/x-pixclscript
p10	application/x-pkcs10
p12	application/x-pkcs12
pfx	application/x-pkcs12
p7b	application/x-pkcs7-certificates
p7r	application/x-pkcs7-certreqresp
p7c	application/x-pkcs7-mime
p7m	application/x-pkcs7-mime
p7a	application/x-pkcs7-signature
mpc	application/x-project
mpt	application/x-project
mpv	application/x-project
mpx	application/x-project
wb1	application/x-qpro
qtl	application/x-quicktimeplayer
rdb	application/x-r
rds	application/x-r
rdx	application/x-r
rtsp	application/x-rtsp
sdp	application/x-sdp
sea	application/x-sea
sl	application/x-seelogo
sh	application/x-sh
shar	application/x-shar
swf	application/x-shockwave-flash
spr	application/x-sprite
sprite	application/x-sprite
sit	application/x-stuffit
sv4cpio	application/x-sv4cpio
sv4crc	application/x-sv4crc
tar	application/x-tar
sbk	application/x-tbook
tcl	application/x-tcl
tex	application/x-tex
texi	application/x-texinfo
texinfo	application/x-texinfo
roff	application/x-troff
t	application/x-troff
tr	application/x-troff
man	application/x-troff-man
me	application/x-troff-me
ms	application/x-troff-ms
avi	application/x-troff-msvideo
ustar	application/x-ustar
vsd	application/x-visio
vst	application/x-visio
vsw	application/x-visio
mzz	application/x-vnd.audioexplosion.mzz
xpix	application/x-vnd.ls-xpix
src	application/x-wais-source
wsrc	application/x-wais-source
hlp	application/x-winhelp
wtk	application/x-wintalk
cer	application/x-x509-ca-cert
crt	application/x-x509-ca-cert
der	application/x-x509-ca-cert
zip	application/x-zip-compressed
3gp	audio/3gpp
3g2	audio/3gpp2
AMR	audio/AMR
au	audio/basic
snd	audio/basic
it	audio/it
funk	audio/make
my	audio/make
pfunk	audio/make
rmi	audio/mid
kar	audio/midi
mid	audio/midi
midi	audio/midi
m2a	audio/mpeg
mp2	audio/mpeg
mp3	audio/mpeg
mp4 video/mp4
mpa	audio/mpeg
mpga	audio/mpeg
ogg audio/ogg
s3m	audio/s3m
